Word, Ner-Tag
greh;O
sajt;O
rasprave;O
izborna;O
dese;O
razne;O
Bukumirić-Katić;I-per
probleme;O
upitanju;O
predviđena;O
Kaletović;I-per
ABN;B-org
stoga;O
potiskujući;O
tačku;O
Evropa;I-misc
smenio;O
mogućoj;O
železničke;O
sezone;O
poslovnik;O
znatno;O
Oružje;O
ubrizga;O
poslala;O
prestane;O
veliku;O
izjavu;O
Konjanovskog;I-per
Estonije;B-loc
so;O
Jugoistočna;B-misc
prometa;O
kompanijom;O
drži;O
Sanela;B-per
montaža;O
Damanaki;I-per
kiša;I-misc
Uhapšeno;O
ličnom;O
strogom;O
Nehrua;I-per
Dragulj;O
ministarskom;O
poznat;O
jedinstvenih;O
ministarstava;O
ORA;B-org
štete;O
očekivati;O
Kusari;I-per
pozivajući;O
Ortakoj;B-loc
dnevno;O
Sledeće;O
opozicionu;O
eksplozivnu;O
decembru;O
Skupljači;B-misc
Dinkićevih;B-deriv-per
jaz;O
standarde;O
odliva;O
2:08.90;O
faze;O
sali;O
građevinske;O
stranama;O
Bolje;O
telu;O
preurediti;O
Naftovod;O
reflektuje;O
samom;O
smeštaj;O
ublažavanju;O
Obećavamo;O
Amerike;I-org
turistkinje;O
principe;O
Majkrosofta;B-org
uslova;O
bend;O
Borisa;I-per
Kokalakis;I-per
policajaca;O
aparat;O
Samim;O
oslobođene;O
Dejtonu;B-loc
ponuditi;O
pregledu;O
kišnim;O
sveukupne;O
promovisali;O
partiju;O
onoga;O
Ukupne;O
stanovništvo;O
vladajuću;O
Mraz;I-per
građevina;O
otvorimo;O
bombaškog;O
integritet;O
rumunsko-turskom;O
Bektaševićem;I-per
praksu;O
groznica;O
aktuelna;O
Padinska;B-org
kirija;O
istorije;O
Sudije;O
nagradu;I-misc
isprovocirana;O
predstavljaju;O
Prodaja;O
igračem;O
armije;O
opstale;O
koracima;O
započeto;O
Macura;I-per
UEFA;B-org
direktan;O
govoreći;O
govora;O
fazom;O
stave;O
leškari;O
osumnjičena;O
stigli;O
uzgoj;O
dobri;O
namenjeni;O
Termoelektrana;B-org
68;O
brojem;O
poruke;O
Evropska;B-misc
usmeravanju;O
srednjem;O
pokrajine;O
potvrditi;O
spreče;O
funkcionalna;O
Balkana;B-loc
koraci;O
zapravo;O
119;O
Bolano;B-per
Utvrđeno;O
Ćulibrk;B-per
nacija;O
Bilgi;I-org
obezbeđivanje;O
neustavno;O
Azije;B-loc
zamenika;O
World;B-org
putovanja;O
rešavanju;O
izvoznika;I-org
Koncert;O
tenzija;O
kiparskom;O
delove;O
zdrava;O
sumnu;O
okupljanja;O
Petrovaradinskoj;B-loc
ponosa;I-misc
Ninića;I-per
izgleda;O
politikom;O
fon;I-per
desetak;O
dana;O
Asocijacija;B-org
Renoviranje;O
Rusije;B-loc
vezanim;O
izolaciji;O
potvrdilo;O
insistirao;O
svojih;O
majki;O
razočarenje;O
zaslužuje;O
enklave;O
stručnjacima;O
dorade;O
prošlom;O
arsenal;O
gađanju;O
postojanja;O
osumnjičene;O
Top;B-org
praćeno;O
mišljenjima;O
brodova;O
van;O
hitnu;O
sprovele;O
29.11.2010.;O
obožavalac;O
otkupio;O
Svi;O
tuži;O
komesarijata;O
Vlašić;I-per
student;O
procenjeni;O
pokazalo;O
Buš;B-per
Napulju;I-org
najperfektnije;O
rezultat;O
Svetske;I-org
sprovedeni;O
stabilnost;O
stojimo;O
pogođeni;O
šefice;O
leptir;O
Birači;O
svedočili;O
završene;O
Nikolovski;I-per
parlamentu;O
dobiće;O
mislimo;O
Daren;B-per
značajne;O
naporima;O
Prošlog;O
demokratija;O
parada;O
Kompaniju;O
aktiviste;O
urednik;O
zvaničnici;O
opasnosti;O
mišljenja;O
poverenje;O
blizak;O
pridružilo;O
Trajkovskog;B-per
usmerenu;O
prepreka;O
zatvoreno;O
takvim;O
frustriraju;O
Glas;B-org
ukupan;O
slobodnih;O
hiljade;O
ministarki;O
uspostavljenm;O
2.000;O
fokusiraće;O
popularnu;O
neuvazavanja;O
istoka;I-loc
vaše;O
162;O
ćete;O
di-džejevi;O
silovanja;O
Mladića;B-per
usredsređena;O
pravoslavna;O
Muzafer;I-per
upućivanjem;O
podataka;O
transfer;O
radnog;O
zemlju;O
Montana;I-per
predodređen;O
vatrenog;O
Dodik;B-per
Lokalne;O
grčko;O
doputovati;O
Tatul;B-loc
najbolje;O
mi;O
osoblje;O
ustavna;O
blato;O
turskim;O
zgradama;O
Danas;B-misc
bivšoj;O
Republike;I-org
uzrokovao;O
veći;O
kamatnu;O
Branko;B-per
biometrijskom;O
privatizovan;O
književnih;O
radnom;O
samitom;O
pregovarači;O
garantovati;O
Gruzija;B-loc
staze;O
pominju;O
uložimo;O
klub;O
štampanim;O
van;I-per
ovogodišnju;O
suda;O
grade;O
1982.;O
odnosu;O
posebno;O
vežbama;O
Čovića;I-per
Đurović;I-per
strukturu;O
NATO-a;I-org
kompjuter;O
važna;O
avgusta;O
Sitiju;I-loc
Vujasinović;I-per
pokušaju;O
magazini;O
kosovske;O
pobedila;O
reunifikaciju;I-org
memorijalne;O
Dimitrov;I-per
Prvoj;B-misc
paketu;O
stopu;O
skinuta;O
svedena;O
duva;O
Jojković;I-per
strani;O
Zapatero;B-per
kaže;O
komesarka;O
48-godišnjeg;O
generalima;O
remont;O
uradio;O
uvoznici;O
interese;O
BDP;O
završio;O
19.;O
Vesna;B-per
muzeju;I-org
Bugarska;B-loc
ovom;O
naglasio;O
Nečije;O
sagorevaju;O
Preševskoj;B-loc
pripremu;O
povukla;O
Prajsner;I-per
početnog;O
međunarodne;I-misc
Ovogodišnji;O
Srebrenica;B-loc
dnevnika;O
svojstveno;O
EFSM;B-misc
grubi;O
prijatelji;O
gradiće;O
koordinatora;O
Zorić;I-per
MKSJ;B-org
vratima;O
ubila;O
urađeno;O
palestinskog;O
JIE;B-loc
narastajući;O
poredak;O
Delegacija;O
podložnom;O
Dvadesetčetvorogodišnja;O
lošije;O
privatizacija;O
kosovskih;O
Čomić;I-per
živimo;O
želeli;O
orijentisana;O
mobilne;O
Spor;O
Sloboda;O
ustavni;O
izdvajajući;O
stvarnog;O
sporazum;I-misc
semininara;O
pozicije;O
oktobarskog;O
Grozdanovska;I-per
sigurna;O
ozbiljnom;O
teritorije;O
značaj;O
Policija;O
Staro;B-loc
gazele;O
Grci;B-per
međunacionalne;O
Burkaj;B-per
industrija;O
zapanjeni;O
obavljaju;O
usta;O
prekomandovani;O
Brauna;I-org
jesen;O
Metodija;I-org
pokrenuo;O
opticaj;O
koaliciju;O
besplatnu;O
zatražio;O
Plan;O
suočavamo;O
ciljem;O
geopolitičkog;O
udela;O
posleratnih;O
Napraviti;O
školovani;O
primeni;O
povećala;O
Gevorgjian;I-per
sebi;O
Silajdžićem;I-per
pretrpele;O
Bonovi;O
sever;O
pravnog;O
Rtari;B-loc
vozilima;O
prihvatila;O
integrisane;O
Sači;B-org
siromaštvu;O
ugodnom;O
plovi;O
Novim;O
igrač;O
Olimpijada;B-misc
Đelem;B-misc
najznačajnije;O
dvojnog;O
Jurčić;I-per
svojevremeno;O
